Project Management Learning Roadmap,,,,,,,,,,,,,,,,,,
Source: roadmap.sh community Project Management guide. Start 27 Jul 2026. Mark Done only after adding evidence and receiving a Passed review.,,,,,,,,,,,,,,,,,,
Task ID,Phase,Week,Topic,Learning goal,Practice / Deliverable,Learning resource,Start date,Due date,Est. hours,Priority,Learning status,Progress %,Evidence / Link,Review result,Next action,Last updated,Notes,Accountability
PM-001,Foundations,1,Project management role and value,Explain how project management turns goals into controlled deliverables.,Write a one-page explanation using a DoctorCheck delivery example.,https://www.pmi.org/about/what-is-project-management,2026-07-27,2026-08-02,4,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-002,Foundations,1,Project process groups,"Understand initiation, planning, execution, monitoring and control, and closure.",Map one project through all five process groups.,https://www.pmi.org/standards/pmbok,2026-07-27,2026-08-02,5,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-003,Foundations,2,Project charter and business case,"Define authority, purpose, measurable objectives, sponsor and high-level risk.",Draft a project charter for a DoctorCheck release.,https://www.pmi.org/standards/pmbok,2026-08-03,2026-08-09,6,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-004,Foundations,2,"Feasibility, discovery, MVP and proof of concept",Use early learning to reduce business and technical uncertainty.,Create a discovery plan and decide MVP versus proof of concept.,https://roadmap.sh/r/project-management-crez9,2026-08-03,2026-08-09,5,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-005,Foundations,3,Project management plan and baselines,"Connect scope, schedule, cost, quality, risk and communication plans.",Create a plan outline and baseline approval checklist.,https://www.pmi.org/standards/pmbok,2026-08-10,2026-08-16,6,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-006,Foundations,3,"SDLC, PDLC and delivery approaches","Compare predictive, adaptive and hybrid delivery for software projects.",Choose an approach for DoctorCheck and document the reasons.,https://www.pmi.org/about/what-is-project-management,2026-08-10,2026-08-16,5,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-007,Foundations,4,"Lean, iterative, incremental and V-model delivery",Recognize how work and feedback move through common delivery models.,Create a comparison table with suitable project examples.,https://agilemanifesto.org/,2026-08-17,2026-08-23,4,Should,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-008,Requirements & Scope,4,Types of requirements,"Separate functional, non-functional and transition requirements.",Classify twenty DoctorCheck requirements and find missing acceptance detail.,https://roadmap.sh/r/project-management-crez9,2026-08-17,2026-08-23,5,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-009,Requirements & Scope,5,Definition of Ready and Definition of Done,Set clear entry and completion rules for planned work.,Create team-ready definitions and test them on five tasks.,https://scrumguides.org/scrum-guide.html,2026-08-24,2026-08-30,4,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-010,Requirements & Scope,5,Scope statement and scope baseline,"Define included deliverables, exclusions, assumptions and approved scope.",Write a concise scope statement and baseline checklist.,https://www.pmi.org/standards/pmbok,2026-08-24,2026-08-30,5,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-011,Requirements & Scope,6,Work breakdown structure and dictionary,Break deliverables into manageable work packages with clear meaning.,Build a WBS and dictionary for one release.,https://www.pmi.org/standards/pmbok,2026-08-31,2026-09-06,7,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-012,Requirements & Scope,6,Traceability and acceptance of deliverables,"Link business needs to requirements, work, tests and acceptance.",Create a traceability matrix for ten features.,https://roadmap.sh/r/project-management-crez9,2026-08-31,2026-09-06,5,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-013,Requirements & Scope,7,Scope creep and change boundaries,Recognize uncontrolled additions and route valid change through control.,Review a scenario and prepare the correct response and record.,https://roadmap.sh/r/project-management-crez9,2026-09-07,2026-09-13,4,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-014,Estimation & Schedule,7,Estimation approaches overview,Select estimation methods based on uncertainty and available detail.,Create an estimation decision guide.,https://roadmap.sh/r/project-management-crez9,2026-09-07,2026-09-13,4,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-015,Estimation & Schedule,8,"Analogous, expert judgment and Wideband Delphi",Estimate early work using history and structured expert input.,Estimate one module using all three methods and compare results.,https://roadmap.sh/r/project-management-crez9,2026-09-14,2026-09-20,5,Should,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-016,Estimation & Schedule,8,"Three-point, bottom-up and top-down estimation",Produce ranges and reconcile detail with project constraints.,Build a three-point estimate and a bottom-up rollup.,https://roadmap.sh/r/project-management-crez9,2026-09-14,2026-09-20,6,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-017,Estimation & Schedule,9,"Story points, planning poker and T-shirt sizing",Use relative estimation without treating points as time.,Facilitate a mock planning-poker session.,https://www.atlassian.com/agile,2026-09-21,2026-09-27,5,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-018,Estimation & Schedule,9,Function points and use-case points,Understand size-based estimation options for larger planning contexts.,Calculate a small example and state when not to use it.,https://roadmap.sh/r/project-management-crez9,2026-09-21,2026-09-27,4,Optional,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-019,Estimation & Schedule,10,"Schedule, milestones, phases and dependencies",Create a realistic timeline with ownership and dependency logic.,Build a milestone schedule for a release.,https://roadmap.sh/r/project-management-crez9,2026-09-28,2026-10-04,6,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-020,Estimation & Schedule,10,Critical path and schedule compression,Find schedule-driving work and compare crashing with fast tracking.,Identify a critical path and test two compression options.,https://roadmap.sh/r/project-management-crez9,2026-09-28,2026-10-04,6,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-021,Estimation & Schedule,11,Schedule monitoring and forecasting,Compare actual progress with baseline and forecast completion.,Write a weekly schedule update with forecast and corrective action.,https://roadmap.sh/r/project-management-crez9,2026-10-05,2026-10-11,5,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-022,Estimation & Schedule,11,Earned value management,"Use planned value, earned value and actual cost to understand performance.","Calculate CPI, SPI, EAC and explain the result.",https://www.pmi.org/standards/pmbok,2026-10-05,2026-10-11,7,Should,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-023,Estimation & Schedule,12,Burndown and burnup charts,Read delivery trends without hiding scope change.,Create both charts from sample sprint data.,https://www.atlassian.com/agile,2026-10-12,2026-10-18,4,Should,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-024,Stakeholders & Communication,12,"Stakeholder register, power-interest grid and salience model",Identify stakeholders and tailor engagement to influence and need.,Build a stakeholder register and two prioritization views.,https://roadmap.sh/r/project-management-crez9,2026-10-12,2026-10-18,6,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-025,Stakeholders & Communication,13,RACI matrix,"Clarify responsible, accountable, consulted and informed roles.",Create and review a RACI for one cross-team flow.,https://roadmap.sh/r/project-management-crez9,2026-10-19,2026-10-25,4,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-026,Stakeholders & Communication,13,Communication channels and matrix,Plan useful communication without creating meeting overload.,Calculate channels and design a communication matrix.,https://roadmap.sh/r/project-management-crez9,2026-10-19,2026-10-25,4,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-027,Stakeholders & Communication,14,Communication plan and engagement assessment,"Define audience, message, format, cadence, owner and desired engagement.",Write a communication plan and engagement-gap actions.,https://roadmap.sh/r/project-management-crez9,2026-10-26,2026-11-01,6,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-028,Stakeholders & Communication,14,"Sponsor, steering committee and project governance","Set decision rights, escalation paths and oversight cadence.",Design governance for a medium software project.,https://roadmap.sh/r/project-management-crez9,2026-10-26,2026-11-01,5,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-029,Stakeholders & Communication,15,"Decision, meeting and change logs",Create durable records that prevent repeated debate and hidden decisions.,Create templates and log five sample decisions.,https://support.google.com/a/users/,2026-11-02,2026-11-08,4,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-030,Stakeholders & Communication,15,"Status, health, risk and issue reporting","Report progress, forecast, decisions and exceptions clearly.",Produce a one-page weekly project status report.,https://roadmap.sh/r/project-management-crez9,2026-11-02,2026-11-08,6,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-031,Risk & Change,16,Risk identification and risk register,"Describe causes, events, impacts, owners, triggers and responses.",Build a risk register with at least fifteen risks.,https://www.pmi.org/standards/pmbok,2026-11-09,2026-11-15,6,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-032,Risk & Change,16,Qualitative and quantitative risk assessment,Rank risks consistently and know when numerical analysis is useful.,Score the register and run a simple expected-value example.,https://roadmap.sh/r/project-management-crez9,2026-11-09,2026-11-15,6,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-033,Risk & Change,17,Risk appetite and response strategies,"Choose avoid, mitigate, transfer, accept, exploit, enhance or share deliberately.",Assign strategies and actions to the top risks.,https://roadmap.sh/r/project-management-crez9,2026-11-16,2026-11-22,5,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-034,Risk & Change,17,Contingency and management reserves,Separate known-risk response funding from unknown-risk management reserve.,Prepare a reserve rationale and approval rule.,https://roadmap.sh/r/project-management-crez9,2026-11-16,2026-11-22,4,Should,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-035,Risk & Change,18,Change requests and change control board,Assess impact and obtain explicit approval before changing baselines.,Create a change-request form and run a mock CCB.,https://roadmap.sh/r/project-management-crez9,2026-11-23,2026-11-29,6,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-036,Risk & Change,18,"ADKAR, Lewin and Kotter change models",Select a people-change approach suited to the organization.,Compare the models and create one adoption plan.,https://www.prosci.com/methodology/adkar,2026-11-23,2026-11-29,6,Should,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-037,Quality,19,"Quality assurance, quality control and quality plan","Plan prevention, verification and acceptance responsibilities.",Write a quality management plan for one release.,https://roadmap.sh/r/project-management-crez9,2026-11-30,2026-12-06,6,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-038,Quality,19,"Quality metrics, audits and quality gates",Use measurable standards and independent checks to control readiness.,Define ten metrics and a release quality gate.,https://roadmap.sh/r/project-management-crez9,2026-11-30,2026-12-06,5,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-039,Quality,20,"Six Sigma, TQM, cost of quality and inspection",Understand improvement methods and the cost of prevention versus failure.,Analyze one defect process and propose an improvement.,https://asq.org/quality-resources/six-sigma,2026-12-07,2026-12-13,6,Should,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-040,People Management,20,Staffing and make-or-buy decisions,Plan needed skills and decide whether work should be internal or external.,Create a staffing plan and make-or-buy analysis.,https://roadmap.sh/r/project-management-crez9,2026-12-07,2026-12-13,5,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-041,People Management,21,Tuckman and motivation theories,Recognize team development stages and different motivation drivers.,Diagnose three team scenarios and propose manager actions.,https://roadmap.sh/r/project-management-crez9,2026-12-14,2026-12-20,5,Should,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-042,People Management,21,Conflict management and interviews,Handle disagreement constructively and evaluate candidates consistently.,Practice a conflict scenario and build an interview scorecard.,https://roadmap.sh/r/project-management-crez9,2026-12-14,2026-12-20,5,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-043,People Management,22,"Onboarding, mentoring, recognition and retention",Create a sustainable team experience from joining through growth.,Build a 30-day onboarding and mentoring plan.,https://roadmap.sh/r/project-management-crez9,2026-12-21,2026-12-27,5,Should,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-044,Procurement & Contracts,22,"RFI, RFP and RFQ","Use the correct request document for information, proposals or price.",Draft a short procurement pack for a test service.,https://roadmap.sh/r/project-management-crez9,2026-12-21,2026-12-27,5,Should,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-045,Procurement & Contracts,23,"NDA, MSA, SOW and SLA",Understand how legal and service documents divide obligations.,Create a document map and identify key review questions.,https://roadmap.sh/r/project-management-crez9,2026-12-28,2027-01-03,5,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-046,Procurement & Contracts,23,"Time and material, fixed price and cost reimbursable",Choose a contract type that matches uncertainty and risk allocation.,Compare three scenarios and recommend a contract type.,https://roadmap.sh/r/project-management-crez9,2026-12-28,2027-01-03,5,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-047,Cost & Business,24,Project budget and cost baseline,"Estimate, approve and control project spending.",Build a simple budget with contingency and baseline.,https://www.pmi.org/standards/pmbok,2027-01-04,2027-01-10,7,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-048,Cost & Business,24,"Cash flow, revenue, profit and P&L",Read how delivery decisions affect business results over time.,Create a simple monthly project P&L.,https://roadmap.sh/r/project-management-crez9,2027-01-04,2027-01-10,6,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-049,Cost & Business,25,"GPM, COGS, CAPEX, OPEX, EBIT and EBITDA",Understand common business measures used in delivery decisions.,Calculate the measures from a sample case and explain each one.,https://roadmap.sh/r/project-management-crez9,2027-01-11,2027-01-17,6,Should,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-050,Cost & Business,25,"NPV, IRR, payback and benefit-cost ratio","Compare investments using time, value and return.",Evaluate two project options and recommend one.,https://roadmap.sh/r/project-management-crez9,2027-01-11,2027-01-17,7,Should,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-051,Cost & Business,26,"Strategic alignment, portfolio balance and scoring models",Select work that supports strategy while balancing risk and capacity.,Build a weighted project-selection scorecard.,https://roadmap.sh/r/project-management-crez9,2027-01-18,2027-01-24,6,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-052,Cost & Business,26,"MoSCoW, RICE, ICE and value-effort prioritization",Choose a transparent method for ordering competing work.,Prioritize twenty backlog items with two methods.,https://roadmap.sh/r/project-management-crez9,2027-01-18,2027-01-24,5,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-053,Frameworks,27,"Scrum, Kanban and Waterfall","Know the rules, strengths and limits of three common approaches.",Select an approach for three different project scenarios.,https://scrumguides.org/scrum-guide.html,2027-01-25,2027-01-31,6,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-054,Frameworks,27,Scaled Agile models,"Understand Scrum of Scrums, SAFe, Nexus, Spotify, LeSS and scaled coordination.",Create a comparison and state when scaling is unnecessary.,https://www.atlassian.com/agile,2027-01-25,2027-01-31,5,Optional,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-055,Frameworks,28,"VUCA, BANI and PESTLE",Use environmental analysis to plan under uncertainty.,Create a PESTLE review and uncertainty response list.,https://roadmap.sh/r/project-management-crez9,2027-02-01,2027-02-07,4,Should,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-056,Technical Acumen,28,"Development, architecture, code review, debt and branching",Understand engineering language well enough to plan and surface risk.,Interview a developer or review a code workflow and write learned risks.,https://roadmap.sh/r/project-management-crez9,2027-02-01,2027-02-07,6,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
PM-057,Technical Acumen,29,"QA strategy, defect management and the test pyramid",Plan quality work and interpret testing evidence.,Review a QA plan and connect defects to release decisions.,https://roadmap.sh/r/project-management-crez9,2027-02-08,2027-02-14,5,Must,Not started,0%,,Not reviewed,Read the resource and complete the practice task.,,,On track
